color_space,hog_orient,hog_pix_per_cell,spatial_size,color_hist_bins,reduc_factor,C,gamma,kernel,accuracy,time to predict 100,training time,features vector length,performance
YCrCb,9,32,16,16,16,1,0.005,linear,0.96988,0.006659,5.86424,57.0,32.54552
YCrCb,9,32,16,16,16,1,0.005,rbf,0.98198,0.017556,3.81398,57.0,22.94598
YCrCb,9,32,16,16,16,1,0.001,linear,0.971,0.006532,5.79223,57.0,35.14919
YCrCb,9,32,16,16,16,1,0.001,rbf,0.96875,0.030367,6.14027,57.0,6.73262
YCrCb,9,32,16,16,16,5,0.005,linear,0.97016,0.006476,16.6981,57.0,33.95169
YCrCb,9,32,16,16,16,5,0.005,rbf,0.98733,0.010685,2.4078,57.0,49.47003
YCrCb,9,32,16,16,16,5,0.001,linear,0.96988,0.006251,16.91813,57.0,34.66975
YCrCb,9,32,16,16,16,5,0.001,rbf,0.97466,0.017007,3.76547,57.0,16.29406
YCrCb,9,32,16,16,16,10,0.005,linear,0.97016,0.006335,29.12066,57.0,34.70736
YCrCb,9,32,16,16,16,10,0.005,rbf,0.99015,0.008855,2.12027,57.0,68.8432
YCrCb,9,32,16,16,16,10,0.001,linear,0.97016,0.006223,28.6191,57.0,35.33202
YCrCb,9,32,16,16,16,10,0.001,rbf,0.97635,0.013797,3.12789,57.0,21.90241
YCrCb,19,16,16,16,8,1,0.005,linear,0.98592,0.014571,17.76723,358.0,33.77493
YCrCb,19,16,16,16,8,1,0.005,rbf,0.98818,0.335867,182.38694,358.0,1.64299
YCrCb,19,16,16,16,8,1,0.001,linear,0.98789,0.015148,16.24004,358.0,35.89832
YCrCb,19,16,16,16,8,1,0.001,rbf,0.9924,0.135321,24.6676,358.0,5.04629
YCrCb,19,16,16,16,8,5,0.005,linear,0.98649,0.0136,18.3223,358.0,37.24736
YCrCb,19,16,16,16,8,5,0.005,rbf,0.98846,0.334699,155.8211,358.0,1.67225
YCrCb,19,16,16,16,8,5,0.001,linear,0.98423,0.013586,22.72336,358.0,33.24592
YCrCb,19,16,16,16,8,5,0.001,rbf,0.99437,0.0844,18.07627,358.0,8.93425
YCrCb,19,16,16,16,8,10,0.005,linear,0.98677,0.014247,17.38219,358.0,36.06396
YCrCb,19,16,16,16,8,10,0.005,rbf,0.98874,0.337345,158.80597,358.0,1.68279
YCrCb,19,16,16,16,8,10,0.001,linear,0.98789,0.01336,15.21541,358.0,40.70268
YCrCb,19,16,16,16,8,10,0.001,rbf,0.99352,0.082724,17.69473,358.0,8.73372
YCrCb,19,16,16,16,12,1,0.005,linear,0.99127,0.009151,12.77761,239.0,70.49034
YCrCb,19,16,16,16,12,1,0.005,rbf,0.99437,0.127916,33.90126,239.0,5.89489
YCrCb,19,16,16,16,12,1,0.001,linear,0.99127,0.008996,10.54283,239.0,71.70488
YCrCb,19,16,16,16,12,1,0.001,rbf,0.99071,0.080866,15.84299,239.0,7.75464
YCrCb,19,16,16,16,12,5,0.005,linear,0.98986,0.007828,30.44983,239.0,76.74285
YCrCb,19,16,16,16,12,5,0.005,rbf,0.99465,0.12479,42.98991,239.0,6.12822
YCrCb,19,16,16,16,12,5,0.001,linear,0.99155,0.007996,22.17379,239.0,81.81975
YCrCb,19,16,16,16,12,5,0.001,rbf,0.99324,0.042207,10.03826,239.0,16.87818
YCrCb,19,16,16,16,12,10,0.005,linear,0.9862,0.007321,29.63873,239.0,68.18353
YCrCb,19,16,16,16,12,10,0.005,rbf,0.99465,0.129845,43.60848,239.0,5.88964
YCrCb,19,16,16,16,12,10,0.001,linear,0.98902,0.00725,50.27282,239.0,79.41741
YCrCb,19,16,16,16,12,10,0.001,rbf,0.99465,0.036533,8.64259,239.0,20.93288
YCrCb,19,16,16,16,16,1,0.005,linear,0.99099,0.007349,9.94775,179.0,86.54368
YCrCb,19,16,16,16,16,1,0.005,rbf,0.99437,0.059889,13.69722,179.0,12.59081
YCrCb,19,16,16,16,16,1,0.001,linear,0.9893,0.007757,11.47894,179.0,75.28469
YCrCb,19,16,16,16,16,1,0.001,rbf,0.98958,0.054779,12.14553,179.0,10.81263
YCrCb,19,16,16,16,16,5,0.005,linear,0.98902,0.006729,26.07178,179.0,85.56638
YCrCb,19,16,16,16,16,5,0.005,rbf,0.9955,0.055961,12.96613,179.0,14.26191
YCrCb,19,16,16,16,16,5,0.001,linear,0.9893,0.006645,25.62972,179.0,87.88312
YCrCb,19,16,16,16,16,5,0.001,rbf,0.99296,0.029283,6.87286,179.0,23.98679
YCrCb,19,16,16,16,16,10,0.005,linear,0.98874,0.006462,35.62848,179.0,87.84929
YCrCb,19,16,16,16,16,10,0.005,rbf,0.99606,0.055286,12.7176,179.0,14.84772
YCrCb,19,16,16,16,16,10,0.001,linear,0.98818,0.005857,37.10317,179.0,94.21667
YCrCb,19,16,16,16,16,10,0.001,rbf,0.99352,0.023131,5.75472,179.0,31.23462
YCrCb,19,32,16,16,8,1,0.005,linear,0.98423,0.007842,8.63159,130.0,57.59743
YCrCb,19,32,16,16,8,1,0.005,rbf,0.98818,0.040644,9.94975,130.0,13.57709
YCrCb,19,32,16,16,8,1,0.001,linear,0.98452,0.007476,8.55107,130.0,61.31375
YCrCb,19,32,16,16,8,1,0.001,rbf,0.97917,0.047036,10.96488,130.0,7.42121
YCrCb,19,32,16,16,8,5,0.005,linear,0.98452,0.006856,21.36619,130.0,66.85846
YCrCb,19,32,16,16,8,5,0.005,rbf,0.99296,0.029621,7.58545,130.0,23.71308
YCrCb,19,32,16,16,8,5,0.001,linear,0.9848,0.006842,24.51408,130.0,67.95461
YCrCb,19,32,16,16,8,5,0.001,rbf,0.98508,0.024187,5.79773,130.0,19.49814
YCrCb,19,32,16,16,8,10,0.005,linear,0.98367,0.006814,50.01129,130.0,64.42719
YCrCb,19,32,16,16,8,10,0.005,rbf,0.99212,0.028016,7.04038,130.0,24.03279
YCrCb,19,32,16,16,8,10,0.001,linear,0.98283,0.007476,37.03316,130.0,56.26663
